rank,itemId,item,sourcePortId,sourcePort,destinationPortId,destinationPort,quantity,weightPerUnit,cargoWeight,buyPrice,sellPrice,totalCost,netRevenue,netProfit,roi,profitPerWeight,mapDistance,profitPerMapDistance,sourceAvailableQty,destinationDemandQty,confidence
1,906,Bermuda Cedar,183,Galdonas,23,Pitt's Town,251,0.33,82.83,15,500,3954,119225,115271,29.153009610520993,1391.6576119763372,781113.1718741423,0.14757272588737394,375,251,B_RESET_SNAPSHOT
2,894,Mahogany Log,46,Nuevitas,23,Pitt's Town,1125,0.33,371.25,15,122,17719,130388,112669,6.358654551611265,303.4855218855219,143032.4470690356,0.787716370017913,1125,2000,B_RESET_SNAPSHOT
3,1359,White Oak Log,38,La Habana,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,350720.92252781225,0.06522850086933678,1800000,8117,B_RESET_SNAPSHOT
4,1359,White Oak Log,79,Kingston / Port Royal,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,257380.81311818285,0.08888385937880867,441715,8117,B_RESET_SNAPSHOT
5,1359,White Oak Log,96,La Tortue,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,150647.80454601653,0.15185750677841472,1800620,8117,B_RESET_SNAPSHOT
6,1359,White Oak Log,108,Santo Domingo,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,286679.5487542892,0.0797999023627866,1800000,8117,B_RESET_SNAPSHOT
7,1359,White Oak Log,156,Fort-Royal,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,722777.0218770072,0.03165153194907863,989177,8117,B_RESET_SNAPSHOT
8,1359,White Oak Log,179,Guayaguayare,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,860872.2513415078,0.026574210011242074,1686000,8117,B_RESET_SNAPSHOT
9,1359,White Oak Log,193,Caracas,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,672811.9649918478,0.034002070697831885,810795,8117,B_RESET_SNAPSHOT
10,1359,White Oak Log,220,Portobelo,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,678511.0025493054,0.03371647609846621,1800000,8117,B_RESET_SNAPSHOT
11,1359,White Oak Log,268,Sisal,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,708438.0724071695,0.03229216623305871,1800000,8117,B_RESET_SNAPSHOT
12,1359,White Oak Log,301,Penzacola,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,653583.9801403316,0.035002387902910444,4089,8117,B_RESET_SNAPSHOT
13,1359,White Oak Log,326,San Agustín,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,451103.5458704684,0.0507134120523384,1763669,8117,B_RESET_SNAPSHOT
14,1359,White Oak Log,349,Serrana,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,436904.98799311894,0.05236149878966432,8942,8117,B_RESET_SNAPSHOT
15,1359,White Oak Log,350,Bone Cay,23,Pitt's Town,3030,0.33,999.9000000000001,10,19,31815,54692,22877,0.719063334904919,22.879287928792877,362457.23316403985,0.06311641183236201,1825600,8117,B_RESET_SNAPSHOT
16,28,Hemp,9,Marsh Harbour,23,Pitt's Town,3030,0.33,999.9000000000001,2,7,6363,20150,13787,2.166745245953167,13.788378837883787,215587.48126393362,0.06395083758653511,3600000,5000,B_RESET_SNAPSHOT
17,28,Hemp,10,Bimini,23,Pitt's Town,3030,0.33,999.9000000000001,2,7,6363,20150,13787,2.166745245953167,13.788378837883787,242876.84664665203,0.0567653944390094,3600000,5000,B_RESET_SNAPSHOT
18,28,Hemp,105,Macao,23,Pitt's Town,3030,0.33,999.9000000000001,2,7,6363,20150,13787,2.166745245953167,13.788378837883787,324200.43907835893,0.04252616078865857,3600000,5000,B_RESET_SNAPSHOT
19,1359,White Oak Log,352,Pedro Cay,23,Pitt's Town,1802,0.33,594.6600000000001,10,19,18921,32527,13606,0.7190951852439089,22.880301348669825,310058.0660096012,0.04388210303672176,1802,8117,B_RESET_SNAPSHOT
20,28,Hemp,35,Baja,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,423622.86059928697,0.02503405974124582,3599997,5000,B_RESET_SNAPSHOT
21,28,Hemp,79,Kingston / Port Royal,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,257380.81311818285,0.041203537557908204,3452748,5000,B_RESET_SNAPSHOT
22,28,Hemp,97,Cap-Français,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,172570.80092327346,0.06145303807632601,3600000,5000,B_RESET_SNAPSHOT
23,28,Hemp,135,Fort Baai,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,556014.292820037,0.019073250700468017,1165135,5000,B_RESET_SNAPSHOT
24,28,Hemp,165,Scarborough,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,837418.9580784715,0.01266391200926961,3600000,5000,B_RESET_SNAPSHOT
25,28,Hemp,169,Puerto de España,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,826789.9555258752,0.012826716059043978,2035125,5000,B_RESET_SNAPSHOT
26,28,Hemp,216,Canalete,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,671900.7517345209,0.01578358109084273,3539987,5000,B_RESET_SNAPSHOT
27,28,Hemp,227,Matina,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,727560.4329975133,0.014576108758839345,3579567,5000,B_RESET_SNAPSHOT
28,28,Hemp,241,Croata,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,565458.3046464438,0.018754698468228952,3601000,5000,B_RESET_SNAPSHOT
29,28,Hemp,254,Turneffe,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,644848.461724946,0.016445724273935636,3579617,5000,B_RESET_SNAPSHOT
30,28,Hemp,301,Penzacola,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,653583.9801403316,0.016225917896156194,3600655,5000,B_RESET_SNAPSHOT
31,28,Hemp,334,Georgetown,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,536538.9201809798,0.01976557450188857,3600000,5000,B_RESET_SNAPSHOT
32,28,Hemp,343,Tumbado,23,Pitt's Town,3030,0.33,999.9000000000001,3,7,9545,20150,10605,1.1110529072812991,10.606060606060606,551095.8297580779,0.019243477136554315,3600000,5000,B_RESET_SNAPSHOT
33,28,Hemp,49,Puerto de Nipe,23,Pitt's Town,3030,0.33,999.9000000000001,4,7,12726,20150,7424,0.5833726229765833,7.424742474247424,117880.11121977716,0.06297924156313868,3523506,5000,B_RESET_SNAPSHOT
34,28,Hemp,68,Santa Fe,23,Pitt's Town,3030,0.33,999.9000000000001,4,7,12726,20150,7424,0.5833726229765833,7.424742474247424,345712.0266100349,0.02147452049267095,3600000,5000,B_RESET_SNAPSHOT
35,28,Hemp,179,Guayaguayare,23,Pitt's Town,3030,0.33,999.9000000000001,4,7,12726,20150,7424,0.5833726229765833,7.424742474247424,860872.2513415078,0.008623811475432144,3600000,5000,B_RESET_SNAPSHOT
36,28,Hemp,197,Mitara,23,Pitt's Town,3030,0.33,999.9000000000001,4,7,12726,20150,7424,0.5833726229765833,7.424742474247424,574883.4445121004,0.012913922066934275,3600000,5000,B_RESET_SNAPSHOT
37,28,Hemp,214,Dariena,23,Pitt's Town,3030,0.33,999.9000000000001,4,7,12726,20150,7424,0.5833726229765833,7.424742474247424,717996.9241198187,0.010339877164656334,3605746,5000,B_RESET_SNAPSHOT
38,28,Hemp,273,Victoria,23,Pitt's Town,3030,0.33,999.9000000000001,4,7,12726,20150,7424,0.5833726229765833,7.424742474247424,834366.3650466147,0.008897769985712732,3600000,5000,B_RESET_SNAPSHOT
39,28,Hemp,296,Saint-Malo,23,Pitt's Town,3030,0.33,999.9000000000001,4,7,12726,20150,7424,0.5833726229765833,7.424742474247424,723896.1965819239,0.010255614043911917,33179,5000,B_RESET_SNAPSHOT
