portId,port,itemId,item,weight,buyPrice,buyQty,sellPrice,sellQty,isContractsExist,active114,nationName,taxRate,snapshotUTC
3,Walker's Cay,1583,2pd Standard Gun,0.82,85,10008,21,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,72,6pd Medium Gun,1.63,121,10164,30,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,70,4pd Medium Gun,1.2,100,10093,25,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,50,12pd Carronade,1.05,125,10029,31,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,989,Doubloons,0.01,45,46039,32,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,73,9pd Medium Gun,1.95,142,98,35,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,43,Stone Block,0.33,3,1200000,1,,FALSE,TRUE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,65,12pd Medium Gun,2.26,163,10,40,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,3221,Fishing Hooks,0.23,4,21,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,621,Salt,0.23,4,14,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,3222,Fishing Nets,0.23,4,3,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,67,24pd Medium Gun,3.27,204,10,51,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,866,Sulphur,0.33,5,96,1,,FALSE,TRUE,España,0.05,2026-08-14T20:06:11.965878Z
3,Walker's Cay,21,Rum,0.17,16,3,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,1583,2pd Standard Gun,0.82,85,10000,21,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,72,6pd Medium Gun,1.63,121,10735,30,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,70,4pd Medium Gun,1.2,100,10230,25,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,50,12pd Carronade,1.05,125,10420,31,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,989,Doubloons,0.01,48,15720,32,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,52,24pd Carronade,1.9,160,55,40,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,73,9pd Medium Gun,1.95,142,414,35,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,864,Saltpeter,0.33,6,1154874,1,,FALSE,TRUE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,621,Salt,0.23,4,67,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,51,18pd Carronade,1.47,146,2,36,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,3222,Fishing Nets,0.23,4,13,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,3221,Fishing Hooks,0.23,4,62,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,62,4pd Long Gun,1.5,129,322,32,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,64,9pd Long Gun,2.42,184,35,46,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,65,12pd Medium Gun,2.26,163,360,40,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,360,Barrels,0.06,6,15,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,905,Charcoal,0.07,4,282,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,30,Lignum Vitae Log,0.33,6,65,1,,FALSE,TRUE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,620,Fish Meat,0.05,4,179,1,,FALSE,TRUE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,2977,Grape Ammo,0.04,57,196,1,,FALSE,TRUE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,866,Sulphur,0.33,5,103,1,,FALSE,TRUE,España,0.05,2026-08-14T20:06:11.965878Z
4,West End,29,Iron Ore,0.33,8,172,1,,FALSE,FALSE,España,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,1583,2pd Standard Gun,0.82,85,10000,21,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,72,6pd Medium Gun,1.63,121,10000,30,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,70,4pd Medium Gun,1.2,100,10006,25,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,50,12pd Carronade,1.05,125,10000,31,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,989,Doubloons,0.01,46,39897,32,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,607,Tobacco,0.33,2,2400000,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,3221,Fishing Hooks,0.23,4,42,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,3222,Fishing Nets,0.23,4,46,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,39,Oak Log,0.33,4,5,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,621,Salt,0.23,4,4,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,620,Fish Meat,0.05,4,54,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,1844,Medicinal bark,0.12,10,2,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,73,9pd Medium Gun,1.95,142,26,35,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,360,Barrels,0.06,6,5,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
5,Road Rocks,30,Lignum Vitae Log,0.33,6,1,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,1583,2pd Standard Gun,0.82,85,10000,21,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,72,6pd Medium Gun,1.63,121,10039,30,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,70,4pd Medium Gun,1.2,100,10300,25,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,50,12pd Carronade,1.05,125,10000,31,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,989,Doubloons,0.01,47,29578,32,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,2976,Chain Ammo,0.08,57,20000,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,3222,Fishing Nets,0.23,4,10,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,1844,Medicinal bark,0.12,10,40,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,621,Salt,0.23,4,11,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,51,18pd Carronade,1.47,146,14,36,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,360,Barrels,0.06,6,14,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,64,9pd Long Gun,2.42,184,2,46,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,63,6pd Long Gun,2.01,150,2,37,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,887,Provisions,1.02,65,7,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,3221,Fishing Hooks,0.23,4,7,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,21,Rum,0.17,16,6,1,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
6,Turtle Cay,620,Fish Meat,0.05,4,46,1,,FALSE,TRUE,Neutral,0.05,2026-08-14T20:06:11.965878Z
8,Little Harbour,1583,2pd Standard Gun,0.82,85,10000,21,,FALSE,FALSE,Neutral,0.05,2026-08-14T20:06:11.965878Z
