portId,port,nationId,nationName,x,y,taxRate,snapshotUTC,provider,sourceUrl
3,Walker's Cay,2,España,16800.0003755093,-479000.010706485,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
4,West End,2,España,32200.0007197261,-430200.00961572,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
5,Road Rocks,0,Neutral,-6800.00015199185,-429800.009606779,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
6,Turtle Cay,0,Neutral,-26800.0005990267,-461800.010322035,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
8,Little Harbour,0,Neutral,-46600.0010415912,-415200.009280443,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
9,Marsh Harbour,0,Neutral,-49200.0010997057,-434000.009700656,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
10,Bimini,2,España,45800.0010237098,-375800.008399785,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
11,Mimbres,0,Neutral,30800.0006884337,-328200.007335842,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
12,Morgan's Bluff,0,Neutral,4400.00009834767,-357600.007992983,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
14,Nassau,5,Verenigde Provinciën,-32400.0007241964,-351000.007845462,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
15,Harbour Island,0,Neutral,-58600.0013098121,-371600.008305907,0.05,2026-08-14T20:06:11.965878Z,public-shard,https://storage.googleapis.com/nacleanopenworldprodshards/Ports_cleanopenworldprodeu3.json
