portId,port,itemId,item,buyPrice,buyQty,sellPrice,sellQty,weight,active114,snapshotUTC,sourceUrl
14,Nassau,1843,Coconut Fibres,85,12549,43,,6,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,1853,Lemons,68,10508,34,,5,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,1872,Pineapples,68,10810,34,,5,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,1869,Coconuts,68,10508,34,,5,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,1848,Corals,85,12549,43,,6,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,888,Cotton,1727,1530,863,,116.67,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,32,Batavian Spices,518,4232,259,,35,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,838,Dutch Cacao,249,12599,124,,17.5,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,840,Dutch Peanut Butter,119,10458,60,,8.75,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
14,Nassau,813,Bavarian wheat,16,57943,8,,1.17,TRUE,2026-08-14T20:06:11.965878Z,https://storage.googleapis.com/nacleanopenworldprodshards/Shops_cleanopenworldprodeu3.json
