candidateId,snapshotUTC,itemId,item,sourcePortId,sourcePort,sourceNation,destinationPortId,destinationPort,destinationNation,weight,sourceQty,destinationQty,buyPrice,sellPrice,sourceTax,destinationTax,sourceX,sourceY,destinationX,destinationY,mapDistance,confidence
1,2026-08-14T20:06:11.965878Z,866,Sulphur,17,Arthur's Town,Neutral,14,Nassau,Verenigde Provinciën,0.33,1200000,215,2,4,0.05,0.05,-104000.002324581,-328600.007344783,-32400.0007241964,-351000.007845462,75022.13174527565,B_RESET_SNAPSHOT
2,2026-08-14T20:06:11.965878Z,866,Sulphur,17,Arthur's Town,Neutral,23,Pitt's Town,Neutral,0.33,1200000,524,2,5,0.05,0.05,-104000.002324581,-328600.007344783,-162200.003625453,-250400.005596876,97480.66692834103,B_RESET_SNAPSHOT
3,2026-08-14T20:06:11.965878Z,866,Sulphur,30,Parrot Cay,Pirates,14,Nassau,Verenigde Provinciën,0.33,997375,215,2,4,0.05,0.05,-255600.005713105,-207400.004635751,-32400.0007241964,-351000.007845462,265403.8491598753,B_RESET_SNAPSHOT
4,2026-08-14T20:06:11.965878Z,866,Sulphur,30,Parrot Cay,Pirates,23,Pitt's Town,Neutral,0.33,997375,524,2,5,0.05,0.05,-255600.005713105,-207400.004635751,-162200.003625453,-250400.005596876,102822.95693389754,B_RESET_SNAPSHOT
5,2026-08-14T20:06:11.965878Z,866,Sulphur,39,Matanzas,España,23,Pitt's Town,Neutral,0.33,1200000,524,4,5,0.05,0.05,154600.003455579,-263200.005882979,-162200.003625453,-250400.005596876,317058.4874969699,B_RESET_SNAPSHOT
6,2026-08-14T20:06:11.965878Z,866,Sulphur,71,Siguanea,Great Britain,14,Nassau,Verenigde Provinciën,0.33,1067695,215,3,4,0.05,0.05,204800.004577637,-196200.004385412,-32400.0007241964,-351000.007845462,283243.5058150871,B_RESET_SNAPSHOT
7,2026-08-14T20:06:11.965878Z,866,Sulphur,71,Siguanea,Great Britain,23,Pitt's Town,Neutral,0.33,1067695,524,3,5,0.05,0.05,204800.004577637,-196200.004385412,-162200.003625453,-250400.005596876,370980.65468753333,B_RESET_SNAPSHOT
8,2026-08-14T20:06:11.965878Z,866,Sulphur,79,Kingston / Port Royal,Great Britain,23,Pitt's Town,Neutral,0.33,433398,524,4,5,0.05,0.05,-42400.0009477139,-22600.0005051494,-162200.003625453,-250400.005596876,257380.81311818285,B_RESET_SNAPSHOT
9,2026-08-14T20:06:11.965878Z,866,Sulphur,96,La Tortue,Verenigde Provinciën,23,Pitt's Town,Neutral,0.33,1200000,524,4,5,0.05,0.05,-234800.005248189,-118400.002646446,-162200.003625453,-250400.005596876,150647.80454601653,B_RESET_SNAPSHOT
10,2026-08-14T20:06:11.965878Z,866,Sulphur,108,Santo Domingo,Pirates,14,Nassau,Verenigde Provinciën,0.33,1200000,215,3,4,0.05,0.05,-362600.008104742,-45400.0010147691,-32400.0007241964,-351000.007845462,449914.8908949691,B_RESET_SNAPSHOT
11,2026-08-14T20:06:11.965878Z,866,Sulphur,108,Santo Domingo,Pirates,23,Pitt's Town,Neutral,0.33,1200000,524,3,5,0.05,0.05,-362600.008104742,-45400.0010147691,-162200.003625453,-250400.005596876,286679.5487542892,B_RESET_SNAPSHOT
12,2026-08-14T20:06:11.965878Z,866,Sulphur,133,Gustavia,France,14,Nassau,Verenigde Provinciën,0.33,621269,215,3,4,0.05,0.05,-687000.015355647,-10000.0002235174,-32400.0007241964,-351000.007845462,738093.6148983146,B_RESET_SNAPSHOT
13,2026-08-14T20:06:11.965878Z,866,Sulphur,133,Gustavia,France,23,Pitt's Town,Neutral,0.33,621269,524,3,5,0.05,0.05,-687000.015355647,-10000.0002235174,-162200.003625453,-250400.005596876,577241.0370854818,B_RESET_SNAPSHOT
